name,user rating,Price,MS Office Provided,Dedicated Graphic Memory Capacity,SSD Capacity,Graphic Processor,Number of Cores,Operating System,Refresh Rate,Brand,Professional,Gaming,EveryDay,Processor,RAM(in GB),Price_Normalized,SSD Capacity (In Gb),SSD Capacity Normalized,Normalized review,Number of Cores_Normalized,HDD Capacity,HDD Capacity_Normalized,Price_Category,Pocket Friendly,Mid Range,High End,laptop_Link
"acer aspire 3 core i3 11th gen - (4 gb/256 gb ssd/windows 11 home) a315-58 thin and light laptop  (15.6 inch, pure silver, 1.7 kg)",4.2,34999,0,0,256 gb,intel integrated uhd,2,windows,,acer,0,0,0,core i3 11th gen,4,0.066465034965035,256,0.0666666666666667,0.75,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/71LVd5vKMfL._AC_UL320_.jpg
"acer aspire vero(green pc ) core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) av15-51 thin and light laptop  (15.6 inch, volcano gray, 1.8 kg, with ms office)",5,57990,1,0,512 gb,intel integrated iris xe,4,windows,,acer,0,0,0,core i5 11th gen,8,0.146853146853147,512,0.2,1,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71LVd5vKMfL._AC_UL320_.jpg
"acer intel evo swift 3 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) sf314-511 thin and light laptop  (14 inch, pure silver, 1.2 kg, with ms office)",4.5,59990,1,0,512 gb,intel integrated iris xe,4,windows,,acer,0,0,0,core i5 11th gen,8,0.153846153846154,512,0.2,0.84375,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/81E2srXhKVL._AC_UL320_.jpg
"acer nitro 5 ryzen 7 octa core 5800h - (16 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3050 ti) an515-45/ an515-45-r3fb gaming laptop  (15.6 inch, shale black, 2.4 kg)",4.5,80990,0,4 gb,256 gb,nvidia geforce rtx 3050 ti,,windows,,acer,0,1,0,,16,0.227272727272727,256,0.0666666666666667,0.84375,0,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51actUZe98L._AC_UL320_.jpg
"acer extensa 15 core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) ex215-54 thin and light laptop  (15.6 inch, charcoal black)",4.3,37490,0,0,256 gb,intel integrated uhd,4,windows,,acer,1,0,1,core i3 11th gen,4,0.0751748251748252,256,0.0666666666666667,0.78125,0.230769230769231,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/91yXhj4zw5L._AC_UL320_.jpg
"acer aspire athlon dual core 3050u - (4 gb/256 gb ssd/windows 10 home) a315-23 laptop  (15.6 inch, pure silver, 1.9 kg)",4.2,31990,0,0,256 gb,amd radeon amd,,windows,,acer,0,0,0,,4,0.055944055944056,256,0.0666666666666667,0.75,0,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/81E2srXhKVL._AC_UL320_.jpg
"acer dual core a3020e - (4 gb/256 gb ssd/windows 10 home) ex215-22 laptop  (15.6 inch, black, 1.9 kg)",4,31990,0,0,256 gb,amd radeon amd,,windows,,acer,0,0,0,,4,0.055944055944056,256,0.0666666666666667,0.6875,0,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/51actUZe98L._AC_UL320_.jpg
"acer predator helios 300 core i7 11th gen - (16 gb/1 tb hdd/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3050ti/165 hz) ph315-54 gaming laptop  (15.6 inch, abyssal black, 2.3 kg)",4.5,95990,0,4 gb,512 gb,nvidia geforce rtx 3050ti,8,windows,165 hz,acer,0,1,0,core i7 11th gen,16,0.27972027972028,512,0.2,0.84375,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/91yXhj4zw5L._AC_UL320_.jpg
"acer aspire 5 core i5 11th gen - (8 gb/1 tb hdd/windows 10 home) a514-54 thin and light laptop  (14 inch, pure silver, 1.55 kg)",3.8,44990,0,0,,intel integrated iris xe,4,windows,,acer,1,0,1,core i5 11th gen,8,0.101398601398601,,,0.625,0.230769230769231,1,1,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg
"acer aspire 3 ryzen 5 quad core 3500u - (8 gb/512 gb ssd/windows 10 home) a315-23 notebook  (15.6 inch, pure silver, 1.9 kg)",4.4,44490,0,0,512 gb,amd radeon vega 8,4,windows,,acer,0,0,0,,8,0.0996503496503497,512,0.2,0.8125,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
